Gene ID,LFC,Adj p-val,Gene symbol,Gene name
106579650,7.21,3.6E-02,dcst2,DC-STAMP domain containing 2
106604335,-0.31,3.6E-02,LOC106604335,ankyrin repeat and KH domain-containing protein 1-like
106580424,3.39,3.6E-02,LOC106580424,"B-cell linker protein-like, transcript variant X4"
100136539,-0.78,3.9E-02,LOC100136539,glycerol-3-phosphate dehydrogenase
106577645,7.91,8.2E-02,LOC106577645,"claudin-15-like, transcript variant X2"
106584172,-0.3,8.3E-02,LOC106584172,growth arrest and DNA damage-inducible protein GADD45 alpha-like
